# Temperatura celda = 27.9º, Temperatura Laser = 23.926º, Frecuencia Rampa = 79.13 Hz, Amplitud = 76 mVpp, Offset = -4.9 mV, Error Mean = 163, Error std = 705, Xscale = 1000 us, Yscale = 1V 
t1 [us]      ,ch1 [V]     ,t2 [us]      ,ch2 [V]
5686.848,    0.027, 5686.848,    0.027
5687.872,    0.027, 5687.872,    0.027
5688.896,    0.025, 5688.896,    0.027
5689.920,    0.026, 5689.920,    0.027
5690.944,    0.019, 5690.944,    0.028
5691.968,    0.026, 5691.968,    0.027
5692.992,    0.028, 5692.992,    0.027
5694.016,    0.024, 5694.016,    0.027
5695.040,    0.024, 5695.040,    0.027
5696.064,    0.025, 5696.064,    0.027
5697.088,    0.025, 5697.088,    0.027
5698.112,    0.024, 5698.112,    0.027
5699.136,    0.025, 5699.136,    0.027
5700.160,    0.026, 5700.160,    0.027
5701.184,    0.024, 5701.184,    0.027
5702.208,    0.030, 5702.208,    0.027
5703.232,    0.024, 5703.232,    0.028
5704.256,    0.025, 5704.256,    0.027
5705.280,    0.026, 5705.280,    0.027
5706.304,    0.026, 5706.304,    0.027
5707.328,    0.025, 5707.328,    0.027
5708.352,    0.024, 5708.352,    0.028
5709.376,    0.026, 5709.376,    0.027
5710.400,    0.026, 5710.400,    0.028
5711.424,    0.023, 5711.424,    0.028
5712.448,    0.024, 5712.448,    0.028
5713.472,    0.029, 5713.472,    0.027
5714.496,    0.025, 5714.496,    0.028
5715.520,    0.028, 5715.520,    0.027
5716.544,    0.022, 5716.544,    0.028
5717.568,    0.025, 5717.568,    0.028
5718.592,    0.025, 5718.592,    0.028
5719.616,    0.025, 5719.616,    0.028
5720.640,    0.027, 5720.640,    0.028
5721.664,    0.025, 5721.664,    0.028
5722.688,    0.022, 5722.688,    0.028
5723.712,    0.023, 5723.712,    0.028
5724.736,    0.022, 5724.736,    0.028
5725.760,    0.026, 5725.760,    0.028
5726.784,    0.024, 5726.784,    0.028
5727.808,    0.025, 5727.808,    0.028
5728.832,    0.018, 5728.832,    0.028
5729.856,    0.024, 5729.856,    0.028
5730.880,    0.025, 5730.880,    0.028
5731.904,    0.024, 5731.904,    0.028
5732.928,    0.027, 5732.928,    0.028
5733.952,    0.024, 5733.952,    0.028
