# Temperatura celda = 27.9º, Temperatura Laser = 23.926º, Frecuencia Rampa = 79.13 Hz, Amplitud = 76 mVpp, Offset = -4.9 mV, Error Mean = 109, Error std = 682, Xscale = 1000 us, Yscale = 1V 
t1 [us]      ,ch1 [V]     ,t2 [us]      ,ch2 [V]
5686.848,    0.035, 5686.848,    0.026
5687.872,    0.031, 5687.872,    0.026
5688.896,    0.033, 5688.896,    0.026
5689.920,    0.032, 5689.920,    0.026
5690.944,    0.035, 5690.944,    0.026
5691.968,    0.033, 5691.968,    0.026
5692.992,    0.032, 5692.992,    0.026
5694.016,    0.030, 5694.016,    0.026
5695.040,    0.028, 5695.040,    0.026
5696.064,    0.033, 5696.064,    0.026
5697.088,    0.035, 5697.088,    0.026
5698.112,    0.035, 5698.112,    0.026
5699.136,    0.033, 5699.136,    0.026
5700.160,    0.031, 5700.160,    0.027
5701.184,    0.033, 5701.184,    0.026
5702.208,    0.027, 5702.208,    0.026
5703.232,    0.036, 5703.232,    0.026
5704.256,    0.033, 5704.256,    0.026
5705.280,    0.034, 5705.280,    0.026
5706.304,    0.033, 5706.304,    0.026
5707.328,    0.029, 5707.328,    0.026
5708.352,    0.030, 5708.352,    0.026
5709.376,    0.035, 5709.376,    0.026
5710.400,    0.032, 5710.400,    0.026
5711.424,    0.026, 5711.424,    0.027
5712.448,    0.033, 5712.448,    0.026
5713.472,    0.032, 5713.472,    0.026
5714.496,    0.029, 5714.496,    0.027
5715.520,    0.032, 5715.520,    0.026
5716.544,    0.033, 5716.544,    0.026
5717.568,    0.031, 5717.568,    0.026
5718.592,    0.033, 5718.592,    0.026
5719.616,    0.031, 5719.616,    0.027
5720.640,    0.034, 5720.640,    0.026
5721.664,    0.030, 5721.664,    0.027
5722.688,    0.031, 5722.688,    0.027
5723.712,    0.033, 5723.712,    0.026
5724.736,    0.029, 5724.736,    0.027
5725.760,    0.027, 5725.760,    0.027
5726.784,    0.035, 5726.784,    0.026
5727.808,    0.031, 5727.808,    0.027
5728.832,    0.033, 5728.832,    0.026
5729.856,    0.031, 5729.856,    0.027
5730.880,    0.031, 5730.880,    0.027
5731.904,    0.035, 5731.904,    0.027
5732.928,    0.030, 5732.928,    0.027
5733.952,    0.034, 5733.952,    0.026
5734.976,    0.027, 5734.976,    0.027
5736.000,    0.036, 5736.000,    0.026
5737.024,    0.031, 5737.024,    0.027
5738.048,    0.030, 5738.048,    0.027
5739.072,    0.032, 5739.072,    0.027
5740.096,    0.034, 5740.096,    0.027
5741.120,    0.030, 5741.120,    0.027
5742.144,    0.033, 5742.144,    0.027
5743.168,    0.031, 5743.168,    0.027
5744.192,    0.032, 5744.192,    0.027
5745.216,    0.030, 5745.216,    0.027
5746.240,    0.033, 5746.240,    0.027
5747.264,    0.031, 5747.264,    0.027
5748.288,    0.031, 5748.288,    0.027
5749.311,    0.030, 5749.311,    0.027
5750.336,    0.027, 5750.336,    0.027
5751.360,    0.027, 5751.360,    0.027
5752.384,    0.030, 5752.384,    0.027
5753.408,    0.030, 5753.408,    0.027
5754.432,    0.029, 5754.432,    0.027
5755.456,    0.034, 5755.456,    0.027
5756.480,    0.029, 5756.480,    0.027
5757.504,    0.029, 5757.504,    0.027
5758.528,    0.030, 5758.528,    0.027
5759.552,    0.029, 5759.552,    0.027
5760.576,    0.033, 5760.576,    0.027
5761.600,    0.030, 5761.600,    0.027
5762.624,    0.028, 5762.624,    0.027
5763.648,    0.032, 5763.648,    0.027
5764.672,    0.029, 5764.672,    0.027
5765.696,    0.027, 5765.696,    0.028
5766.720,    0.030, 5766.720,    0.027
5767.744,    0.030, 5767.744,    0.028
5768.768,    0.028, 5768.768,    0.027
5769.792,    0.027, 5769.792,    0.028
5770.816,    0.024, 5770.816,    0.028
5771.840,    0.031, 5771.840,    0.027
5772.864,    0.027, 5772.864,    0.028
5773.888,    0.025, 5773.888,    0.028
5774.912,    0.027, 5774.912,    0.027
5775.936,    0.030, 5775.936,    0.028
5776.960,    0.029, 5776.960,    0.027
5777.984,    0.028, 5777.984,    0.028
5779.008,    0.023, 5779.008,    0.028
5780.032,    0.023, 5780.032,    0.028
5781.056,    0.023, 5781.056,    0.028
5782.080,    0.026, 5782.080,    0.028
5783.104,    0.023, 5783.104,    0.028
5784.128,    0.026, 5784.128,    0.028
5785.152,    0.022, 5785.152,    0.028
5786.176,    0.025, 5786.176,    0.028
5787.200,    0.021, 5787.200,    0.028
5788.224,    0.023, 5788.224,    0.028
5789.248,    0.019, 5789.248,    0.028
5790.272,    0.017, 5790.272,    0.029
5791.296,    0.022, 5791.296,    0.029
5792.320,    0.018, 5792.320,    0.029
5793.344,    0.016, 5793.344,    0.029
5794.368,    0.020, 5794.368,    0.029
5795.392,    0.015, 5795.392,    0.029
5796.416,    0.012, 5796.416,    0.029
5797.440,    0.011, 5797.440,    0.029
5798.464,    0.003, 5798.464,    0.030
5799.488,    0.011, 5799.488,    0.029
5800.512,    0.003, 5800.512,    0.030
5801.536,    0.002, 5801.536,    0.030
5802.560,   -0.004, 5802.560,    0.031
5803.584,    0.001, 5803.584,    0.031
5804.608,   -0.006, 5804.608,    0.031
5805.632,   -0.006, 5805.632,    0.031
5806.656,   -0.013, 5806.656,    0.032
5807.680,   -0.017, 5807.680,    0.032
5808.704,   -0.015, 5808.704,    0.032
5809.728,   -0.013, 5809.728,    0.032
5810.752,   -0.023, 5810.752,    0.033
5811.776,   -0.022, 5811.776,    0.033
5812.800,   -0.035, 5812.800,    0.034
5813.824,   -0.033, 5813.824,    0.034
5814.848,   -0.041, 5814.848,    0.035
5815.872,   -0.024, 5815.872,    0.033
5816.896,   -0.043, 5816.896,    0.035
5817.920,   -0.040, 5817.920,    0.035
5818.944,   -0.050, 5818.944,    0.036
5819.968,   -0.045, 5819.968,    0.035
5820.992,   -0.059, 5820.992,    0.037
5822.016,   -0.042, 5822.016,    0.035
5823.040,   -0.046, 5823.040,    0.036
5824.064,   -0.035, 5824.064,    0.035
5825.088,   -0.042, 5825.088,    0.035
5826.112,   -0.025, 5826.112,    0.033
5827.136,   -0.005, 5827.136,    0.031
5828.160,   -0.007, 5828.160,    0.032
5829.184,    0.008, 5829.184,    0.030
5830.208,    0.027, 5830.208,    0.028
5831.232,    0.041, 5831.232,    0.027
5832.256,    0.048, 5832.256,    0.027
5833.280,    0.061, 5833.280,    0.025
5834.304,    0.084, 5834.304,    0.023
5835.328,    0.080, 5835.328,    0.024
5836.352,    0.101, 5836.352,    0.021
5837.376,    0.093, 5837.376,    0.022
5838.400,    0.122, 5838.400,    0.019
5839.424,    0.115, 5839.424,    0.020
5840.448,    0.124, 5840.448,    0.019
5841.472,    0.125, 5841.472,    0.019
5842.496,    0.126, 5842.496,    0.019
5843.520,    0.129, 5843.520,    0.019
5844.544,    0.127, 5844.544,    0.019
5845.568,    0.127, 5845.568,    0.019
5846.592,    0.107, 5846.592,    0.021
5847.616,    0.121, 5847.616,    0.020
5848.640,    0.096, 5848.640,    0.022
5849.664,    0.113, 5849.664,    0.020
