# Temperatura celda = 26.6º, Temperatura Laser = 23.926º, Frecuencia Rampa = 79.13 Hz, Amplitud = 76 mVpp, Offset = -4.9 mV, Error Mean = 350, Error std = 430 
t1 [us]      ,ch1 [V]     ,t2 [us]      ,ch2 [V]     
5752.512,   -0.094, 5752.512,    0.028
5753.536,   -0.095, 5753.536,    0.028
5754.560,   -0.092, 5754.560,    0.028
5755.584,   -0.094, 5755.584,    0.028
5756.608,   -0.092, 5756.608,    0.028
5757.632,   -0.089, 5757.632,    0.028
5758.656,   -0.089, 5758.656,    0.028
5759.680,   -0.089, 5759.680,    0.028
5760.704,   -0.090, 5760.704,    0.028
5761.727,   -0.097, 5761.727,    0.028
5762.752,   -0.096, 5762.752,    0.028
5763.776,   -0.095, 5763.776,    0.028
5764.800,   -0.093, 5764.800,    0.028
5765.824,   -0.093, 5765.824,    0.028
5766.848,   -0.092, 5766.848,    0.028
5767.872,   -0.094, 5767.872,    0.028
5768.895,   -0.095, 5768.895,    0.028
5769.919,   -0.093, 5769.919,    0.028
5770.943,   -0.090, 5770.943,    0.028
5771.968,   -0.094, 5771.968,    0.028
5772.992,   -0.094, 5772.992,    0.028
5774.016,   -0.094, 5774.016,    0.028
5775.040,   -0.092, 5775.040,    0.028
5776.064,   -0.090, 5776.064,    0.028
5777.088,   -0.092, 5777.088,    0.028
5778.112,   -0.091, 5778.112,    0.028
5779.136,   -0.095, 5779.136,    0.028
5780.160,   -0.096, 5780.160,    0.028
5781.184,   -0.091, 5781.184,    0.028
5782.208,   -0.096, 5782.208,    0.028
5783.232,   -0.092, 5783.232,    0.028
5784.256,   -0.094, 5784.256,    0.028
5785.280,   -0.094, 5785.280,    0.028
5786.304,   -0.095, 5786.304,    0.028
5787.328,   -0.096, 5787.328,    0.028
5788.352,   -0.093, 5788.352,    0.028
5789.376,   -0.096, 5789.376,    0.029
5790.400,   -0.095, 5790.400,    0.029
5791.424,   -0.089, 5791.424,    0.028
5792.448,   -0.093, 5792.448,    0.028
5793.472,   -0.096, 5793.472,    0.029
5794.496,   -0.094, 5794.496,    0.028
5795.520,   -0.095, 5795.520,    0.028
5796.544,   -0.093, 5796.544,    0.028
5797.568,   -0.098, 5797.568,    0.029
5798.592,   -0.092, 5798.592,    0.028
5799.616,   -0.093, 5799.616,    0.029
5800.640,   -0.093, 5800.640,    0.029
5801.664,   -0.093, 5801.664,    0.029
5802.688,   -0.096, 5802.688,    0.029
5803.712,   -0.092, 5803.712,    0.028
5804.736,   -0.091, 5804.736,    0.029
5805.760,   -0.091, 5805.760,    0.029
5806.784,   -0.097, 5806.784,    0.029
5807.808,   -0.093, 5807.808,    0.029
5808.832,   -0.091, 5808.832,    0.029
5809.855,   -0.093, 5809.855,    0.029
5810.879,   -0.096, 5810.879,    0.029
5811.904,   -0.096, 5811.904,    0.029
5812.928,   -0.096, 5812.928,    0.029
5813.952,   -0.097, 5813.952,    0.029
5814.976,   -0.094, 5814.976,    0.029
5815.999,   -0.094, 5815.999,    0.029
5817.023,   -0.093, 5817.023,    0.029
5818.047,   -0.094, 5818.047,    0.029
5819.072,   -0.091, 5819.072,    0.029
5820.096,   -0.094, 5820.096,    0.029
5821.120,   -0.093, 5821.120,    0.029
5822.144,   -0.098, 5822.144,    0.029
5823.168,   -0.097, 5823.168,    0.029
5824.192,   -0.102, 5824.192,    0.029
5825.216,   -0.095, 5825.216,    0.029
5826.240,   -0.094, 5826.240,    0.029
5827.264,   -0.095, 5827.264,    0.029
5828.288,   -0.093, 5828.288,    0.029
5829.312,   -0.097, 5829.312,    0.029
5830.336,   -0.097, 5830.336,    0.029
5831.360,   -0.096, 5831.360,    0.029
5832.384,   -0.097, 5832.384,    0.029
5833.408,   -0.095, 5833.408,    0.029
5834.432,   -0.100, 5834.432,    0.029
5835.456,   -0.098, 5835.456,    0.029
5836.480,   -0.093, 5836.480,    0.029
5837.504,   -0.097, 5837.504,    0.029
5838.528,   -0.094, 5838.528,    0.029
5839.552,   -0.097, 5839.552,    0.029
5840.576,   -0.097, 5840.576,    0.029
5841.600,   -0.097, 5841.600,    0.029
5842.623,   -0.099, 5842.623,    0.029
5843.648,   -0.100, 5843.648,    0.029
5844.672,   -0.094, 5844.672,    0.029
5845.696,   -0.098, 5845.696,    0.029
5846.720,   -0.099, 5846.720,    0.029
